Date,Open,High,Low,Close,Adj Close,Volume
2018-09-14,63.799999,64.470001,63.349998,63.360001,63.360001,0
2018-09-17,63.709999,65.230003,63.389999,64.949997,64.949997,0
2018-09-18,65.209999,65.809998,64.849998,65.400002,65.400002,0
2018-09-19,66.000000,67.360001,65.849998,66.690002,66.690002,0
2018-09-20,67.389999,67.589996,65.910004,66.790001,66.790001,0
2018-09-21,66.099998,66.970001,65.599998,66.029999,66.029999,0
2018-09-24,66.519997,67.849998,66.260002,66.290001,66.290001,0
2018-09-25,66.930000,67.800003,66.669998,66.709999,66.709999,0
2018-09-26,66.500000,66.559998,64.970001,65.019997,65.019997,0
2018-09-27,64.400002,64.809998,63.799999,64.589996,64.589996,0
2018-09-28,64.970001,65.680000,64.889999,65.180000,65.180000,0
2018-10-01,65.089996,65.540001,64.820000,65.139999,65.139999,0
2018-10-02,65.669998,67.309998,65.660004,66.980003,66.980003,0
2018-10-03,67.089996,67.570000,66.059998,66.150002,66.150002,0
2018-10-04,66.199997,66.989998,65.419998,65.930000,65.930000,0
2018-10-05,65.959999,66.500000,65.339996,65.489998,65.489998,0
2018-10-08,64.510002,65.980003,64.010002,65.930000,65.930000,0
2018-10-09,65.330002,65.629997,64.470001,64.879997,64.879997,0
2018-10-10,64.760002,65.940002,63.759998,65.510002,65.510002,0
2018-10-11,66.430000,70.419998,66.209999,69.970001,69.970001,0
2018-10-12,69.690002,69.809998,67.400002,69.279999,69.279999,0
2018-10-15,70.029999,71.639999,70.010002,70.449997,70.449997,0
2018-10-16,70.949997,71.279999,69.230003,70.099998,70.099998,0
2018-10-17,70.120003,70.989998,69.279999,69.860001,69.860001,0
2018-10-18,69.500000,71.239998,69.269997,70.050003,70.050003,0
2018-10-19,70.389999,70.820000,69.669998,70.089996,70.089996,0
2018-10-22,69.830002,69.870003,68.540001,69.040001,69.040001,0
2018-10-23,70.160004,71.089996,69.139999,69.500000,69.500000,0
2018-10-24,69.349998,69.910004,67.849998,68.040001,68.040001,0
2018-10-25,68.080002,68.580002,64.660004,64.720001,64.720001,0
2018-10-26,65.160004,67.029999,65.000000,65.169998,65.169998,0
2018-10-29,65.209999,66.300003,64.129997,64.699997,64.699997,0
2018-10-30,64.489998,65.830002,64.320000,65.440002,65.440002,0
2018-10-31,64.879997,64.879997,63.770000,64.279999,64.279999,0
2018-11-01,65.169998,67.529999,65.129997,67.190002,67.190002,0
2018-11-02,67.000000,67.650002,66.500000,67.190002,67.190002,0
2018-11-05,67.279999,68.209999,66.400002,67.139999,67.139999,0
2018-11-06,67.169998,67.519997,66.099998,66.309998,66.309998,0
2018-11-07,66.680000,66.699997,65.510002,65.589996,65.589996,0
2018-11-08,65.339996,66.089996,65.019997,65.389999,65.389999,0
2018-11-09,64.570000,64.790001,63.320000,64.160004,64.160004,0
2018-11-12,63.740002,63.759998,62.599998,62.650002,62.650002,0
2018-11-13,62.750000,63.160000,61.349998,61.840000,61.840000,0
2018-11-14,61.490002,64.330002,61.490002,63.529999,63.529999,0
2018-11-15,63.869999,65.110001,63.770000,64.989998,64.989998,0
2018-11-16,65.839996,66.510002,65.699997,66.080002,66.080002,0
