,Date,Open,High,Low,Close,Volume,MA_short,MA_long,EMA_short,EMA_long,EMA_short_MACD,EMA_long_MACD,MACD,MACD_signal,MACD_hist,BIAS_short,BIAS_long,VR,OBV,Open_interpreted,High_interpreted,Low_interpreted,MA_short_interpreted,MA_long_interpreted,EMA_short_interpreted,EMA_long_interpreted,MACD_interpreted,BIAS_short_interpreted,BIAS_long_interpreted,VR_interpreted,OBV_interpreted
779,2020-02-10,78.54499799999998,80.387497,78.462502,80.387497,109348800,74.04059972,58.74467500499993,74.57097908375951,62.050329405363534,79.58159729252841,77.90233830183547,1.6792589906929294,1.920821952418909,-0.2415629617259796,8.572185130863486,36.842185258762605,1.6923715013164868,4822609200,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
780,2020-02-11,80.900002,80.974998,79.677498,79.902496,94323200,74.29944966000002,58.888812479999935,74.78005817851405,62.227962903817634,79.63096632444713,78.05049813132914,1.58046819311798,1.8527512005587232,-0.2722830074407432,7.541168024312378,35.683659824413716,1.7839164665335088,4728286000,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
781,2020-02-12,80.3675,81.805,80.3675,81.800003,113730400,74.59919972,59.042049994999935,75.05535013229779,62.422709571441345,79.96466427453218,78.32823923271215,1.6364250418200186,1.8094859688109823,-0.17306092699096376,9.652654863627808,38.54532999265332,1.7319408409238082,4842016400,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
782,2020-02-13,81.047501,81.555,80.837502,81.217499,94747600,74.90274968,59.197299989999934,75.29700302907044,62.60972240157625,80.1574080784503,78.54225847473349,1.6151496037168158,1.7706186957921493,-0.15546909207533322,8.430597470690884,37.197978647201644,1.8489156484696487,4747268800,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
783,2020-02-14,81.184998,81.495003,80.712502,81.237503,80113600,75.23024968,59.34033749999993,75.52996381224416,62.795073452306845,80.32357652791949,78.74190621734583,1.5816703105736565,1.7328290187484503,-0.15115870817479404,7.985156696345558,36.90097903470821,1.7342174833632114,4827382400,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
784,2020-02-18,78.839996,79.9375,78.652496,79.75,152531200,75.51654972,59.477650009999934,75.69545542745027,62.96377918909981,80.23533398516264,78.81657983087577,1.4187541542868731,1.6700140458561348,-0.2512598915692619,5.6059900719733236,34.083979421836084,1.7715029717569075,4674851200,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
785,2020-02-19,80.0,81.14250200000002,80.0,80.904999,93984000,75.80674976,59.617487504999936,75.89975125382475,63.14229878920827,80.3383593720607,78.97127754710719,1.3670818249535015,1.6094276016756082,-0.24234577672210644,6.725323610550219,35.70682426563976,1.6704075033372952,4768835200,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
786,2020-02-20,80.657501,81.162498,79.552498,80.074997,100566000,76.05469974,59.757262494999935,76.06348638112574,63.31078334851964,80.29784208405134,79.05303454361777,1.244807540433584,1.5365035894272034,-0.2916960489936196,5.2860602615535255,34.000443890313925,1.6742783982556892,4668269200,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
787,2020-02-21,79.654999,80.112503,77.625,78.262497,129554000,76.28534962,59.89499997999993,76.14972209166984,63.459556618683614,79.98471207112037,78.9944762070535,0.9902358640668752,1.4272500443551381,-0.4370141802882628,2.5917786178456934,30.666160824999285,1.5366890669423623,4538715200,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
788,2020-02-24,74.315002,76.04499799999998,72.307503,74.54499799999998,222195200,76.43384952000002,60.01409997999993,76.08679173513376,63.5698595180002,79.1478329832557,78.66488522875323,0.4829477545024616,1.2383895863846028,-0.7554418318821412,-2.471223851555157,24.21247344347841,1.3784564815569311,4316520000,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0
